sample_id	site	pot	date	year	release	r1	r2
MLFH010320180409	01	03	20180409	2018	2021-02-15-ath-release-02	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010320180409_CKDL210001610-1a-AK10689-AK8191_HFLJCCCX2_L5_1P.fq.gz	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010320180409_CKDL210001610-1a-AK10689-AK8191_HFLJCCCX2_L5_2P.fq.gz
MLFH010320180423	01	03	20180423	2018	2021-02-15-ath-release-02	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010320180423_CKDL210001610-1a-AK34068-AK8191_HFLJCCCX2_L5_1P.fq.gz	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010320180423_CKDL210001610-1a-AK34068-AK8191_HFLJCCCX2_L5_2P.fq.gz
MLFH010320180507	01	03	20180507	2018	2021-02-15-ath-release-02	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010320180507_CKDL210001610-1a-AK31398-AK8191_HFLJCCCX2_L5_1P.fq.gz	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010320180507_CKDL210001610-1a-AK31398-AK8191_HFLJCCCX2_L5_2P.fq.gz
MLFH010320180518	01	03	20180518	2018	2021-02-15-ath-release-02	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010320180518_CKDL210001610-1a-AK7838-AK8191_HFLJCCCX2_L5_1P.fq.gz	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010320180518_CKDL210001610-1a-AK7838-AK8191_HFLJCCCX2_L5_2P.fq.gz
MLFH010320190401	01	03	20190401	2019	2021-02-15-ath-release-02	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010320190401_CKDL210001610-1a-AK11638-AK20024_HFLJCCCX2_L5_1P.fq.gz	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010320190401_CKDL210001610-1a-AK11638-AK20024_HFLJCCCX2_L5_2P.fq.gz
MLFH010320190415	01	03	20190415	2019	2021-02-15-ath-release-02	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010320190415_CKDL210001610-1a-AK33987-AK20024_HFLJCCCX2_L5_1P.fq.gz	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010320190415_CKDL210001610-1a-AK33987-AK20024_HFLJCCCX2_L5_2P.fq.gz
MLFH010320190429	01	03	20190429	2019	2021-02-15-ath-release-02	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010320190429_CKDL210001610-1a-AK28238-AK20024_HFLJCCCX2_L5_1P.fq.gz	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010320190429_CKDL210001610-1a-AK28238-AK20024_HFLJCCCX2_L5_2P.fq.gz
MLFH010320190513	01	03	20190513	2019	2021-02-15-ath-release-02	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010320190513_CKDL210001610-1a-AK9787-AK20024_HFLJCCCX2_L5_1P.fq.gz	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010320190513_CKDL210001610-1a-AK9787-AK20024_HFLJCCCX2_L5_2P.fq.gz
MLFH010320190528	01	03	20190528	2019	2021-02-15-ath-release-02	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010320190528_CKDL210001610-1a-AK10689-AK20024_HFLJCCCX2_L5_1P.fq.gz	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010320190528_CKDL210001610-1a-AK10689-AK20024_HFLJCCCX2_L5_2P.fq.gz
MLFH010420180409	01	04	20180409	2018	2021-02-15-ath-release-02	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010420180409_CKDL210001610-1a-AK34069-AK8191_HFLJCCCX2_L5_1P.fq.gz	/home/tbellagio/scratch/pang/grenenet_reads/grenenet-phase1/trimmed/MLFH010420180409_CKDL210001610-1a-AK34069-AK8191_HFLJCCCX2_L5_2P.fq.gz
